Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date
"24260","","","None","127.0.0.1","tcp","8834","HyperText Transfer Protocol (HTTP) Information","Some information about the remote HTTP configuration can be extracted.","This test gives some information about the remote HTTP protocol - the
version used, whether HTTP Keep-Alive is enabled, etc... 

This test is informational only and does not denote any security
problem.","n/a","","
Response Code : HTTP/1.1 200 OK

Protocol version : HTTP/1.1
HTTP/2 TLS Support: No
HTTP/2 Cleartext Support: No
SSL : yes
Keep-Alive : no
Options allowed : (Not implemented)
Headers :

  Cache-Control: must-revalidate
  X-Frame-Options: DENY
  Content-Type: text/html
  ETag: 47b65b0c1ac40013d54f1f3ae5a0d1aa
  Connection: close
  X-XSS-Protection: 1; mode=block
  Server: NessusWWW
  Date: Mon, 09 Jun 2025 03:51:39 GMT
  X-Content-Type-Options: nosniff
  Content-Length: 1138
  Content-Security-Policy: upgrade-insecure-requests; block-all-mixed-content; form-action 'self'; frame-ancestors 'none'; frame-src https://store.tenable.com; default-src 'self'; connect-src 'self'; script-src 'self'; img-src 'self' data:; style-src 'self'; object-src 'none'; base-uri 'self';
  Strict-Transport-Security: max-age=31536000
  Expect-CT: max-age=0
  
Response Body :

<!doctype html>
<html lang=""en"">
    <head>
        <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />
        <meta http-equiv=""Content-Security-Policy"" content=""upgrade-insecure-requests; block-all-mixed-content; form-action 'self'; frame-src https://store.tenable.com; default-src 'self'; connect-src 'self'; script-src 'self'; img-src 'self' data:; style-src 'self'; object-src 'none'; base-uri 'self';"" />
        <meta name=""viewport"" content=""width=device-width, initial-scale=1"">
        <meta charset=""utf-8"" />
        <title>Nessus</title>
        <link rel=""stylesheet"" href=""nessus6.css?v=1653509201124"" id=""theme-link"" />
        <link rel=""stylesheet"" href=""tenable_links.css?v=ac05d80f1e3731b79d12103cdf9367fc"" />
        <link rel=""stylesheet"" href=""wizard_templates.css?v=73140d17df5f19fd6006c2ced6c48b41"" />
        <!--[if lt IE 11]>
            <script>
                window.location = '/unsupported6.html';
            </script>
        <![endif]-->
        <script src=""nessus6.js?v=1653509201124""></script>
        <script src=""pendo-client.js""></script>
    </head>
    <body>
    </body>
</html>
","","","","","None","","","","2007/01/30","2024/02/26"
"42822","","","None","127.0.0.1","tcp","8834","Strict Transport Security (STS) Detection","The remote web server implements Strict Transport Security.","The remote web server implements Strict Transport Security (STS).
The goal of STS is to make sure that a user does not accidentally
downgrade the security of his or her browser.

All unencrypted HTTP connections are redirected to HTTPS.  The browser
is expected to treat all cookies as 'secure' and to close the
connection in the event of potentially insecure situations.","n/a","http://www.nessus.org/u?2fb3aca6","
The STS header line is :

Strict-Transport-Security: max-age=31536000
","","","","","None","","","","2009/11/16","2019/11/22"
"45410","","","None","127.0.0.1","tcp","8834","SSL Certificate 'commonName' Mismatch","The 'commonName' (CN) attribute in the SSL certificate does not match
the hostname.","The service running on the remote host presents an SSL certificate for
which the 'commonName' (CN) attribute does not match the hostname on
which the service listens.","If the machine has several names, make sure that users connect to the
service through the DNS hostname that matches the common name in the
certificate.","","
The host name known by Nessus is :

  localhost

The Common Name in the certificate is :

  961861b13a87
","","","","","None","","","","2010/04/03","2021/03/09"
"45411","","5.0","Medium","127.0.0.1","tcp","8834","SSL Certificate with Wrong Hostname","The SSL certificate for this service is for a different host.","The 'commonName' (CN) attribute of the SSL certificate presented for
this service is for a different machine.","Purchase or generate a proper SSL certificate for this service.","","
The identities known by Nessus are :

  ce419ca758b2
  localhost

The Common Name in the certificate is :

  961861b13a87
","","5.3","","","Medium","","","","2010/04/03","2020/04/27"
"45590","","","None","127.0.0.1","tcp","0","Common Platform Enumeration (CPE)","It was possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.","n/a","http://cpe.mitre.org/
https://nvd.nist.gov/products/cpe","
The remote operating system matched the following CPE : 

  cpe:/o:canonical:ubuntu_linux:18.04.6::~~lts~~~ -> Canonical Ubuntu Linux

Following application CPE's matched on the remote system : 

  cpe:/a:apache:log4j -> Apache Software Foundation log4j
  cpe:/a:gnupg:libgcrypt:1.8.1 -> GnuPG Libgcrypt
  cpe:/a:sqlite:sqlite -> SQLite
  cpe:/a:tenable:nessus -> Tenable Nessus
  cpe:/a:tenable:nessus:10.2.0 -> Tenable Nessus
","","","","","None","","","","2010/04/21","2025/04/15"
"46215","","","None","127.0.0.1","tcp","0","Inconsistent Hostname and IP Address","The remote host's hostname is not consistent with DNS information.","The name of this machine either does not resolve or resolves to a
different IP address. 

This may come from a badly configured reverse DNS or from a host file
in use on the Nessus scanning host. 

As a result, URLs in plugin output may not be directly usable in a web
browser and some web tests may be incomplete.","Fix the reverse DNS or host file.","","The host name 'localhost' does not resolve to an IP address","","","","","None","","","","2010/05/03","2016/08/05"
"51192","","6.4","Medium","127.0.0.1","tcp","8834","SSL Certificate Cannot Be Trusted","The SSL certificate for this service cannot be trusted.","The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.","Purchase or generate a proper SSL certificate for this service.","https://www.itu.int/rec/T-REC-X.509/en
https://en.wikipedia.org/wiki/X.509","
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : O=Nessus Users United/OU=Nessus Server/L=New York/C=US/ST=NY/CN=961861b13a87
|-Issuer  : O=Nessus Users United/OU=Nessus Certification Authority/L=New York/C=US/ST=NY/CN=Nessus Certification Authority
","","6.5","","","Medium","","","","2010/12/15","2020/04/27"
"54615","","","None","127.0.0.1","tcp","0","Device Type","It is possible to guess the remote device type.","Based on the remote operating system, it is possible to determine
what the remote system type is (eg: a printer, router, general-purpose
computer, etc).","n/a","","Remote device type : general-purpose
Confidence level : 100
","","","","","None","","","","2011/05/23","2025/03/12"
"55472","","","None","127.0.0.1","tcp","0","Device Hostname","It was possible to determine the remote system hostname.","This plugin reports a device's hostname collected via SSH or WMI.","n/a","","
  Hostname : ce419ca758b2
    ce419ca758b2 (hostname command)","","","","","None","","","","2011/06/30","2025/04/28"
"56468","","","None","127.0.0.1","tcp","0","Time of Last System Startup","The system has been started.","Using the supplied credentials, Nessus was able to determine when the
host was last started.","n/a","","
  The host has not yet been rebooted.
","","","","","None","","","","2011/10/12","2018/06/19"
"56984","","","None","127.0.0.1","tcp","8834","SSL / TLS Versions Supported","The remote service encrypts communications.","This plugin detects which SSL and TLS versions are supported by the
remote service for encrypting communications.","n/a","","
This port supports TLSv1.3/TLSv1.2.
","","","","","None","","","","2011/12/01","2023/07/10"
"57041","","","None","127.0.0.1","tcp","8834","SSL Perfect Forward Secrecy Cipher Suites Supported","The remote service supports the use of SSL Perfect Forward Secrecy
ciphers, which maintain confidentiality even if the key is stolen.","The remote host supports the use of SSL ciphers that offer Perfect
Forward Secrecy (PFS) encryption.  These cipher suites ensure that
recorded SSL traffic cannot be broken at a future date if the server's
private key is compromised.","n/a","https://www.openssl.org/docs/manmaster/man1/ciphers.html
https://en.wikipedia.org/wiki/Diffie-Hellman_key_exchange
https://en.wikipedia.org/wiki/Perfect_forward_secrecy","
Here is the list of SSL PFS ciphers supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    ECDHE-RSA-AES128-SHA256       0xC0, 0x2F       ECDH          RSA      AES-GCM(128)           SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x30       ECDH          RSA      AES-GCM(256)           SHA384

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
","","","","","None","","","","2011/12/07","2021/03/09"
"66334","","","None","127.0.0.1","tcp","0","Patch Report","The remote host is missing several patches.","The remote host is missing one or more security patches. This plugin lists the newest version of each patch to install 
to make sure the remote host is up-to-date.

Note: Because the 'Show missing patches that have been superseded' setting in your scan policy depends on this plugin,
it will always run and cannot be disabled.","Install the patches listed below.","","

. You need to take the following action :

[ Tenable Nessus < 10.8.4 Multiple Vulnerabilities (TNS-2025-05) (234837) ]

+ Action to take : Upgrade to Tenable Nessus 10.8.4 or later.

+Impact : Taking this action will resolve 50 different vulnerabilities (CVEs).



","","","","","None","","","","2013/07/08","2025/04/08"
"95928","","","None","127.0.0.1","tcp","0","Linux User List Enumeration","Nessus was able to enumerate local users and groups on the remote Linux host.","Using the supplied credentials, Nessus was able to enumerate the local users and groups on the remote Linux host.","None","","
-----------[ User Accounts ]-----------

----------[ System Accounts ]----------

User         : root
Home folder  : /root
Start script : /bin/bash
Groups       : root

User         : daemon
Home folder  : /usr/sbin
Start script : /usr/sbin/nologin
Groups       : daemon

User         : bin
Home folder  : /bin
Start script : /usr/sbin/nologin
Groups       : bin

User         : sys
Home folder  : /dev
Start script : /usr/sbin/nologin
Groups       : sys

User         : sync
Home folder  : /bin
Start script : /bin/sync
Groups       : nogroup

User         : games
Home folder  : /usr/games
Start script : /usr/sbin/nologin
Groups       : games

User         : man
Home folder  : /var/cache/man
Start script : /usr/sbin/nologin
Groups       : man

User         : lp
Home folder  : /var/spool/lpd
Start script : /usr/sbin/nologin
Groups       : lp

User         : mail
Home folder  : /var/mail
Start script : /usr/sbin/nologin
Groups       : mail

User         : news
Home folder  : /var/spool/news
Start script : /usr/sbin/nologin
Groups       : news

User         : uucp
Home folder  : /var/spool/uucp
Start script : /usr/sbin/nologin
Groups       : uucp

User         : proxy
Home folder  : /bin
Start script : /usr/sbin/nologin
Groups       : proxy

User         : www-data
Home folder  : /var/www
Start script : /usr/sbin/nologin
Groups       : www-data

User         : backup
Home folder  : /var/backups
Start script : /usr/sbin/nologin
Groups       : backup

User         : list
Home folder  : /var/list
Start script : /usr/sbin/nologin
Groups       : list

User         : irc
Home folder  : /var/run/ircd
Start script : /usr/sbin/nologin
Groups       : irc

User         : gnats
Home folder  : /var/lib/gnats
Start script : /usr/sbin/nologin
Groups       : gnats

User         : nobody
Home folder  : /nonexistent
Start script : /usr/sbin/nologin
Groups       : nogroup

User         : _apt
Home folder  : /nonexistent
Start script : /usr/sbin/nologin
Groups       : nogroup


----------[ Domain Accounts ]----------

","","","","","None","","","","2016/12/19","2025/03/26"
"97993","","","None","127.0.0.1","tcp","0","OS Identification and Installed Software Enumeration over SSH v2 (Using New SSH Library)","Information about the remote host can be disclosed via an
authenticated session.","Nessus was able to login to the remote host using SSH or local
commands and extract the list of installed packages.","n/a","","
Nessus can run commands on localhost to check if patches are applied.

The output of ""uname -a"" is :
Linux ce419ca758b2 5.15.167.4-microsoft-standard-WSL2 #1 SMP Tue Nov 5 00:21:55 UTC 2024 x86_64 x86_64 x86_64 GNU/Linux

Local checks have been enabled for this host.
The remote Debian system is :
buster/sid

This is a Ubuntu system

OS Security Patch Assessment is available for this host.
Runtime : 1.106705 seconds
","","","","","None","","","","2017/05/30","2025/02/11"
"110095","","","None","127.0.0.1","tcp","0","Target Credential Issues by Authentication Protocol - No Issues Found","Nessus was able to log in to the remote host using the provided
credentials. No issues were reported with access, privilege, or
intermittent failure.","Valid credentials were provided for an authentication protocol on the
remote target and Nessus did not log any subsequent errors or failures
for the authentication protocol.

When possible, Nessus tracks errors or failures related to otherwise
valid credentials in order to highlight issues that may result in
incomplete scan results or limited scan coverage. The types of issues
that are tracked include errors that indicate that the account used
for scanning did not have sufficient permissions for a particular
check, intermittent protocol failures which are unexpected after the
protocol has been negotiated successfully earlier in the scan, and
intermittent authentication failures which are unexpected after a
credential set has been accepted as valid earlier in the scan. This
plugin reports when none of the above issues have been logged during
the course of the scan for at least one authenticated protocol. See
plugin output for details, including protocol, port, and account.

Please note the following :

- This plugin reports per protocol, so it is possible for
  issues to be encountered for one protocol and not another.
  For example, authentication to the SSH service on the
  remote target may have consistently succeeded with no
  privilege errors encountered, while connections to the SMB
  service on the remote target may have failed
  intermittently.

- Resolving logged issues for all available authentication
  protocols may improve scan coverage, but the value of
  resolving each issue for a particular protocol may vary
  from target to target depending upon what data (if any) is
  gathered from the target via that protocol and what
  particular check failed. For example, consistently
  successful checks via SSH are more critical for Linux
  targets than for Windows targets, and likewise
  consistently successful checks via SMB are more critical
  for Windows targets than for Linux targets.","n/a","","Nessus was able to execute commands locally with sufficient privileges
for all planned checks.

","","","","","None","","IAVB:0001-B-0520","","2018/05/24","2024/03/25"
"110483","","","None","127.0.0.1","tcp","0","Unix / Linux Running Processes Information","Uses /bin/ps auxww command to obtain the list of running processes on the target machine at scan time.","Generated report details the running processes on the target machine at scan time.
  This plugin is informative only and could be used for forensic
  investigation, malware detection, and to confirm that your system
  processes conform to your system policies.","n/a","","USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  18388  3096 pts/0    Ss+  11:07   0:00 /bin/bash /nessus/run.sh start
root        12  0.0  0.0   4544   116 ?        S    11:07   0:00 /opt/nessus/sbin/nessus-service -D -q
root        13  4.5  2.8 709752 471924 pts/0   Sl+  11:07   2:00 nessusd -q
root       695  0.0  0.0   4544   840 pts/0    S+   11:51   0:00 sleep 30
root       887  0.0  0.0   4640   768 pts/0    S+   11:52   0:00 sh -c /bin/ps auxww 2>/dev/null
root       890  0.0  0.0  34416  2820 pts/0    R+   11:52   0:00 /bin/ps auxww
","","","","","None","","","","2018/06/12","2023/11/27"
